AL ,RUSSELL ,9140 ,11 ,0.12 ,361.59 ,292.63 ,654.22 ,01560 ,,
AL ,SAINT CLAIR ,9479 ,2270 ,23.95 ,382.82 ,309.81 ,692.63 ,01570 ,,
AL ,SHELBY ,14620 ,4040 ,27.63 ,460.65 ,372.8 ,833.45 ,01580 ,,
AL ,SUMTER ,2679 ,  ,  ,327.15 ,264.76 ,591.91 ,01590 ,,
AL ,TALLADEGA ,15296 ,32 ,0.21 ,383.54 ,310.4 ,693.94 ,01600 ,,
AL ,TALLAPOOSA ,8091 ,  ,  ,337.26 ,272.94 ,610.2 ,01610 ,,
AL ,TUSCALOOSA ,24889 ,130 ,0.52 ,342.38 ,277.09 ,619.47 ,01620 ,,
AL ,WALKER ,15791 ,2064 ,13.07 ,408.07 ,330.26 ,738.33 ,01630 ,,
AL ,WASHINGTON ,3223 ,21 ,0.65 ,333.78 ,270.13 ,603.91 ,01640 ,,
AL ,WILCOX ,2662 ,  ,  ,327.15 ,264.76 ,591.91 ,01650 ,,
AL ,WINSTON ,5079 ,55 ,1.08 ,394.68 ,319.41 ,714.09 ,01660 ,,
AL ,UNDER-11 ,  ,159 ,  ,. ,. ,. ,01xxx ,,
AK ,ALEUTIAN ,245 ,  ,  ,365.45 ,295.75 ,661.2 ,02010 ,,
AK ,ALEUTIANS EAST ,  ,  ,  ,. ,. ,. ,02013 ,,
AK ,ALEUTIANS WEST ,  ,  ,  ,. ,. ,. ,02016 ,,
AK ,ANCHORAGE ,21745 ,67 ,0.31 ,374.14 ,302.79 ,676.93 ,02020 ,,
AK ,ANGOON ,86 ,  ,  ,354.41 ,286.82 ,641.23 ,02030 ,,
AK ,BARROW-NORTH SLOPE ,372 ,  ,  ,418.67 ,338.83 ,757.5 ,02040 ,,
AK ,BETHEL ,773 ,  ,  ,327.15 ,264.76 ,591.91 ,02050 ,,
AK ,BRISTOL BAY ,611 ,  ,  ,370.05 ,299.49 ,669.54 ,02060 ,,
AK ,DENALI ,  ,  ,  ,. ,. ,. ,02068 ,,
AK ,DILLINGHAM ,416 ,  ,  ,341.28 ,276.2 ,617.48 ,02070 ,,
AK ,CORDOVA-MC CARTHY ,209 ,  ,  ,377.27 ,305.32 ,682.59 ,02080 ,,
AK ,FAIRBANKS NORTH STAR ,5728 ,18 ,0.31 ,400.15 ,323.85 ,724 ,02090 ,,
AK ,HAINES ,344 ,  ,  ,327.15 ,264.76 ,591.91 ,02100 ,,
AK ,JUNEAU ,3207 ,  ,  ,378.54 ,306.35 ,684.89 ,02110 ,,
AK ,KENAI-COOK INLET ,5210 ,  ,  ,411.59 ,333.1 ,744.69 ,02120 ,,
AK ,KENAI PENINSULA ,  ,  ,  ,. ,. ,. ,02122 ,,
AK ,KETCHIKAN GATEWAY ,1486 ,  ,  ,425.2 ,344.12 ,769.32 ,02130 ,,
AK ,KOBUK ,430 ,  ,  ,327.15 ,264.76 ,591.91 ,02140 ,,
AK ,KODIAK ISLAND ,442 ,  ,  ,381.41 ,308.68 ,690.09 ,02150 ,,
AK ,KUSKOKWIN ,216 ,  ,  ,327.15 ,264.76 ,591.91 ,02160 ,,
AK ,LAKE AND PENINSULA ,  ,  ,  ,. ,. ,. ,02164 ,,
AK ,MATANUSKA SUSITNA ,5786 ,22 ,0.38 ,381.26 ,308.56 ,689.82 ,02170 ,,
AK ,NOME ,594 ,  ,  ,327.15 ,264.76 ,591.91 ,02180 ,,
AK ,NORTH SLOPE ,  ,  ,  ,. ,. ,. ,02185 ,,
AK ,NORTHWEST ARCTIC ,  ,  ,  ,. ,. ,. ,02188 ,,
AK ,OUTER KETCHIKAN ,207 ,  ,  ,377.67 ,305.65 ,683.32 ,02190 ,,
AK ,PRINCE OF WALES ,294 ,  ,  ,353.07 ,285.74 ,638.81 ,02200 ,,
AK ,PRINCE WALES KETCHIK ,  ,  ,  ,. ,. ,. ,02201 ,,
AK ,SEWARD ,498 ,  ,  ,381.38 ,308.65 ,690.03 ,02210 ,,
AK ,SITKA BOROUGH ,909 ,  ,  ,408.6 ,330.68 ,739.28 ,02220 ,,
AK ,SKAGWAY-YAKUTAT ,330 ,  ,  ,333.66 ,270.04 ,603.7 ,02230 ,,
AK ,SKAGWAY HOONAH ANGOO ,  ,  ,  ,. ,. ,. ,02232 ,,
AK ,SOUTHEAST FAIRBANKS ,597 ,  ,  ,341.76 ,276.59 ,618.35 ,02240 ,,
AK ,UPPER YUKON ,161 ,  ,  ,388.75 ,314.62 ,703.37 ,02250 ,,
AK ,VALDZ-CHITNA-WHITIER ,654 ,  ,  ,347.76 ,281.45 ,629.21 ,02260 ,,
AK ,VALDEZ CORDOVA ,  ,  ,  ,. ,. ,. ,02261 ,,
AK ,WADE HAMPTON ,451 ,  ,  ,327.15 ,264.76 ,591.91 ,02270 ,,
AK ,WRANGELL PETERSBURG ,766 ,  ,  ,382.23 ,309.34 ,691.57 ,02280 ,,
AK ,YAKUTAT BOROUGH ,  ,  ,  ,. ,. ,. ,02282 ,,
AK ,YUKON KOYUKUK ,450 ,  ,  ,351.22 ,284.24 ,635.46 ,02290 ,,
AK ,STATEWIDE ,  ,  ,  ,371.15 ,300.38 ,671.53 ,02990 ,,
AK ,UNDER-11 ,1 ,27 ,  ,. ,. ,. ,02xxx ,,
AZ ,APACHE ,7796 ,69 ,0.89 ,327.15 ,264.76 ,591.91 ,03000 ,,
AZ ,COCHISE ,21649 ,786 ,3.63 ,327.15 ,264.76 ,591.91 ,03010 ,,
AZ ,COCONINO ,15544 ,205 ,1.32 ,327.15 ,264.76 ,591.91 ,03020 ,,
AZ ,GILA ,12414 ,464 ,3.74 ,341.86 ,276.66 ,618.52 ,03030 ,,
AZ ,GRAHAM ,4708 ,62 ,1.32 ,327.15 ,264.76 ,591.91 ,03040 ,,
AZ ,GREENLEE ,1134 ,13 ,1.15 ,327.15 ,264.76 ,591.91 ,03050 ,,
AZ ,LA PAZ ,4173 ,145 ,3.47 ,338.93 ,274.3 ,613.23 ,03055 ,,
AZ ,MARICOPA ,426437 ,147630 ,34.62 ,361.59 ,292.63 ,654.22 ,03060 ,,
AZ ,MOHAVE ,41715 ,909 ,2.18 ,361.59 ,292.63 ,654.22 ,03070 ,,
AZ ,NAVAJO ,13853 ,353 ,2.55 ,327.15 ,264.76 ,591.91 ,03080 ,,
AZ ,PIMA ,145693 ,48893 ,33.56 ,361.59 ,292.63 ,654.22 ,03090 ,,
AZ ,PINAL ,30361 ,9228 ,30.39 ,370.2 ,299.6 ,669.8 ,03100 ,,
AZ ,SANTA CRUZ ,5628 ,1522 ,27.04 ,327.15 ,264.76 ,591.91 ,03110 ,,
AZ ,YAVAPAI ,43490 ,891 ,2.05 ,327.15 ,264.76 ,591.91 ,03120 ,,
AZ ,YUMA ,22513 ,312 ,1.39 ,338.93 ,274.3 ,613.23 ,03130 ,,
AR ,ARKANSAS ,3963 ,  ,  ,327.15 ,264.76 ,591.91 ,04000 ,,
AR ,ASHLEY ,4341 ,  ,  ,342.98 ,277.57 ,620.55 ,04010 ,,
AR ,BAXTER ,12299 ,34 ,0.28 ,327.15 ,264.76 ,591.91 ,04020 ,,
AR ,BENTON ,26710 ,180 ,0.67 ,361.59 ,292.63 ,654.22 ,04030 ,,
AR ,BOONE ,8157 ,38 ,0.47 ,327.15 ,264.76 ,591.91 ,04040 ,,
AR ,BRADLEY ,2469 ,  ,  ,353.58 ,286.16 ,639.74 ,04050 ,,
AR ,CALHOUN ,918 ,  ,  ,327.15 ,264.76 ,591.91 ,04060 ,,
AR ,CARROLL ,4912 ,27 ,0.55 ,327.15 ,264.76 ,591.91 ,04070 ,,
AR ,CHICOT ,2724 ,  ,  ,345.09 ,279.29 ,624.38 ,04080 ,,
AR ,CLARK ,4149 ,20 ,0.48 ,327.15 ,264.76 ,591.91 ,04090 ,,
AR ,CLAY ,4037 ,  ,  ,327.15 ,264.76 ,591.91 ,04100 ,,
AR ,CLEBURNE ,6212 ,17 ,0.27 ,327.15 ,264.76 ,591.91 ,04110 ,,
AR ,CLEVELAND ,1547 ,  ,  ,327.15 ,264.76 ,591.91 ,04120 ,,
AR ,COLUMBIA ,5034 ,  ,  ,327.15 ,264.76 ,591.91 ,04130 ,,
AR ,CONWAY ,5002 ,  ,  ,327.15 ,264.76 ,591.91 ,04140 ,,
AR ,CRAIGHEAD ,12969 ,15 ,0.12 ,327.15 ,264.76 ,591.91 ,04150 ,,
AR ,CRAWFORD ,9513 ,103 ,1.08 ,361.59 ,292.63 ,654.22 ,04160 ,,
AR ,CRITTENDEN ,6717 ,16 ,0.24 ,361.59 ,292.63 ,654.22 ,04170 ,,
AR ,CROSS ,3188 ,14 ,0.44 ,327.15 ,264.76 ,591.91 ,04180 ,,
AR ,DALLAS ,1741 ,  ,  ,327.15 ,264.76 ,591.91 ,04190 ,,
AR ,DESHA ,2592 ,15 ,0.58 ,327.15 ,264.76 ,591.91 ,04200 ,,
AR ,DREW ,2793 ,  ,  ,338.83 ,274.22 ,613.05 ,04210 ,,
AR ,FAULKNER ,11711 ,62 ,0.53 ,361.59 ,292.63 ,654.22 ,04220 ,,
AR ,FRANKLIN ,3491 ,36 ,1.03 ,361.59 ,292.63 ,654.22 ,04230 ,,
AR ,FULTON ,3104 ,  ,  ,327.15 ,264.76 ,591.91 ,04240 ,,
AR ,GARLAND ,24537 ,38 ,0.15 ,345.49 ,279.6 ,625.09 ,04250 ,,
AR ,GRANT ,2572 ,  ,  ,361.59 ,292.63 ,654.22 ,04260 ,,
AR ,GREENE ,6974 ,  ,  ,327.15 ,264.76 ,591.91 ,04270 ,,
AR ,HEMPSTEAD ,3647 ,  ,  ,327.15 ,264.76 ,591.91 ,04280 ,,
AR ,HOT SPRING ,5654 ,  ,  ,365.65 ,295.92 ,661.57 ,04290 ,,
AR ,HOWARD ,2690 ,  ,  ,327.15 ,264.76 ,591.91 ,04300 ,,
AR ,INDEPENDENCE ,6773 ,  ,  ,340.42 ,275.51 ,615.93 ,04310 ,,
AR ,IZARD ,3429 ,  ,  ,327.15 ,264.76 ,591.91 ,04320 ,,
AR ,JACKSON ,4431 ,  ,  ,412.92 ,334.18 ,747.1 ,04330 ,,
AR ,JEFFERSON ,13245 ,11 ,0.08 ,327.15 ,264.76 ,591.91 ,04340 ,,
AR ,JOHNSON ,4284 ,54 ,1.26 ,327.15 ,264.76 ,591.91 ,04350 ,,
AR ,LAFAYETTE ,1613 ,  ,  ,343.19 ,277.74 ,620.93 ,04360 ,,
AR ,LAWRENCE ,4243 ,  ,  ,327.15 ,264.76 ,591.91 ,04370 ,,
AR ,LEE ,1944 ,  ,  ,327.15 ,264.76 ,591.91 ,04380 ,,
AR ,LINCOLN ,1900 ,  ,  ,327.15 ,264.76 ,591.91 ,04390 ,,
AR ,LITTLE RIVER ,2528 ,  ,  ,376.35 ,304.58 ,680.93 ,04400 ,,
AR ,LOGAN ,4795 ,39 ,0.81 ,327.15 ,264.76 ,591.91 ,04410 ,,
AR ,LONOKE ,7855 ,34 ,0.43 ,361.59 ,292.63 ,654.22 ,04420 ,,
AR ,MADISON ,2684 ,  ,  ,361.59 ,292.63 ,654.22 ,04430 ,,
AR ,MARION ,3771 ,27 ,0.72 ,327.15 ,264.76 ,591.91 ,04440 ,,
AR ,MILLER ,6941 ,13 ,0.19 ,364.67 ,295.13 ,659.8 ,04450 ,,
AR ,MISSISSIPPI ,8074 ,  ,  ,342.35 ,277.07 ,619.42 ,04460 ,,
AR ,MONROE ,1987 ,  ,  ,327.15 ,264.76 ,591.91 ,04470 ,,
AR ,MONTGOMERY ,1944 ,  ,  ,327.15 ,264.76 ,591.91 ,04480 ,,
AR ,NEVADA ,1945 ,  ,  ,351.25 ,284.26 ,635.51 ,04490 ,,
AR ,NEWTON ,1781 ,  ,  ,327.15 ,264.76 ,591.91 ,04500 ,,
AR ,OUACHITA ,5920 ,  ,  ,327.15 ,264.76 ,591.91 ,04510 ,,
AR ,PERRY ,2111 ,  ,  ,361.59 ,292.63 ,654.22 ,04520 ,,
